
May 31 21:53:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:53:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:54:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:55:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:56:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:57:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
